StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,CongTime_First Click,CongTime_Last Click,CongTime_Page Submit,CongTime_Click Count,IncongTime_First Click,IncongTime_Last Click,IncongTime_Page Submit,IncongTime_Click Count,NoCueTime_First Click,NoCueTime_Last Click,NoCueTime_Page Submit,NoCueTime_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTruck,NonexiTruckTime_First Click,NonexiTruckTime_Last Click,NonexiTruckTime_Page Submit,NonexiTruckTime_Click Count,NonexiBucket,NonexiBucketTime_First Click,NonexiBucketTime_Last Click,NonexiBucketTime_Page Submit,NonexiBucketTime_Click Count,DenialDaxy,DenialDaxyTime_First Click,DenialDaxyTime_Last Click,DenialDaxyTime_Page Submit,DenialDaxyTime_Click Count,DenialZupy,DenialZupyTime_First Click,DenialZupyTime_Last Click,DenialZupyTime_Page Submit,DenialZupyTime_Click Count,Sha,Bei,StudyGoal,comment,catch,mTurkCode,FL_13_DO,FL_9_DO,WordMeaning_DO
2019-05-31 20:54:27,2019-05-31 20:58:25,IP Address,24.147.19.62,100,237,True,2019-05-31 20:58:25,R_2A11mnWJQCxxKnJ,,,,,42.432098388671875,-71.4550018310546875,anonymous,EN,A1U3OIZTWRI8JD,10.083,10.083,43.836,1,,,,,,,,,Touch it,5.562,5.562,6.476,1,Stay away,5.693,8.938,9.737,2,Truck,7.657,7.657,11.572,1,Bucket,7.592,7.592,9.343,1,Daxy,13.854,26.274,28.045,6,Zupy,5.88,6.647,7.894,2,No,Yes,"How do children learn a language when there are more than one spoken in a household. ",,Three,222042,Cong,DenialDaxy|NonexiTruck|NonexiBucket|ProhAway|ProhTouch|DenialZupy,Bei|Sha
2019-05-31 20:54:16,2019-05-31 20:58:31,IP Address,75.83.216.153,100,254,True,2019-05-31 20:58:32,R_2zoLp8Md3EfzTxr,,,,,34.21490478515625,-119.1761016845703125,anonymous,EN,A2Y2IRNTKMRFSB,0,0,43.035,0,,,,,,,,,Touch it,5.456,6.67,10.897,2,Stay away,8.103,10.189,12.144,2,Truck,2.149,11.628,12.478,4,Bucket,1.474,45.203,46.174,7,Daxy,5.935,6.735,8.081,2,Zupy,1.695,13.803,15.262,4,no,yes,"how languages are understood with different tones. ",,Three,813308,Cong,NonexiBucket|DenialZupy|NonexiTruck|ProhAway|ProhTouch|DenialDaxy,Sha|Bei
2019-05-31 20:56:14,2019-05-31 20:58:40,IP Address,24.99.152.102,100,146,True,2019-05-31 20:58:40,R_Wj0dbHBX74McLOF,,,,,33.808807373046875,-84.28150177001953125,anonymous,EN,A2P8VR6J0Q7GXS,,,,,,,,,0,0,37.234,0,Touch it,3.403,9.354,10.01,3,Stay away,0.466,5.163,5.642,3,Truck,2.736,4.104,4.872,2,Bucket,2.362,3.113,4.393,2,Daxy,13.885,19.18,22.188,2,Zupy,2.52,6.367,6.734,3,no,yes,how we learn language,none,Three,844194,NoCue,DenialDaxy|ProhTouch|NonexiBucket|ProhAway|DenialZupy|NonexiTruck,Sha|Bei
2019-05-31 20:56:06,2019-05-31 20:58:45,IP Address,73.232.91.76,100,159,True,2019-05-31 20:58:46,R_2qyB5P1LCpxeo38,,,,,29.6884002685546875,-95.051300048828125,anonymous,EN,A5FUU339LEP25,,,,,,,,,0,0,39.578,0,Stay away,12.885,14.086,15.036,2,Stay away,5.054,5.054,6.238,1,Bucket,3.886,3.886,4.728,1,Truck,5.159,6.037,6.898,3,Zupy,4.994,6.865,8.305,3,Daxy,4.175,9.961,10.915,2,Yes,No,I'm not sure.,,Three,990015,NoCue,ProhTouch|DenialZupy|DenialDaxy|NonexiBucket|NonexiTruck|ProhAway,Sha|Bei
2019-05-31 20:55:54,2019-05-31 20:58:46,IP Address,107.201.41.76,100,171,True,2019-05-31 20:58:46,R_1Cyxg5SbJ98RaMg,,,,,37.2971954345703125,-120.463897705078125,anonymous,EN,A1N1ULK71RHVMM,3.287,3.287,40.406,1,,,,,,,,,Touch it,4.166,6.776,7.44,3,Stay away,8.4,13.084,14.24,3,Truck,1.215,7.565,8.482,4,Bucket,3.21,4.292,5.064,2,Daxy,1.49,11.716,12.397,4,Zupy,3.458,4.471,5.35,2,no,yes,language,I did a similar but longer test like this a few weeks ago,Three,976415,Cong,ProhAway|NonexiTruck|DenialDaxy|DenialZupy|NonexiBucket|ProhTouch,Bei|Sha
2019-05-31 20:54:30,2019-05-31 20:58:55,IP Address,24.148.16.157,100,264,True,2019-05-31 20:58:55,R_2t4ZxLWtVx7hp9S,,,,,41.9971923828125,-87.7165985107421875,anonymous,EN,A18TH5WAX1D1BL,,,,,0,0,40.614,0,,,,,Stay away,8.012,9.292,10.414,2,Touch it,4.751,5.739,9.73,2,Bucket,2.647,5.028,7.44,2,Truck,10.938,55.298,57.669,2,Daxy,4.137,11.769,14.225,3,Daxy,3.277,11.227,12.706,2,yes,no,How facial expressions inform learning.,None.,Three,124455,Incong,NonexiBucket|ProhTouch|ProhAway|NonexiTruck|DenialDaxy|DenialZupy,Sha|Bei
2019-05-31 20:54:37,2019-05-31 20:59:09,IP Address,71.190.250.134,100,271,True,2019-05-31 20:59:09,R_s6ICEgNOpRRwjxD,,,,,40.8549041748046875,-73.2156982421875,anonymous,EN,A2UHF7UL7G0Y78,,,,,,,,,61.612,61.612,63.376,1,Touch it,7.24,15.203,16.264,4,Stay away,6.084,10.785,11.948,3,Truck,7.434,9.073,10.176,2,Bucket,6.523,19.864,20.953,2,Zupy,4.674,43.036,46.197,4,Daxy,14.416,15.638,17.754,2,No,Yes,,,Three,444589,NoCue,DenialDaxy|DenialZupy|NonexiBucket|NonexiTruck|ProhTouch|ProhAway,Bei|Sha
2019-05-31 20:55:56,2019-05-31 20:59:11,IP Address,98.164.219.234,100,194,True,2019-05-31 20:59:11,R_12m6jWVfHwHONYM,,,,,33.656402587890625,-117.82450103759765625,anonymous,EN,A10HN5H1OV4VDW,0,0,45.049,0,,,,,,,,,Touch it,17.654,21.094,29.401,2,Stay away,7.3,9.229,10.193,2,Truck,8.264,8.529,9.643,2,Bucket,4.209,4.209,5.484,1,Daxy,2.681,4.434,6.349,2,Zupy,6.022,6.022,7.165,1,No,Yes,Something related to languages.,"No, thank you.",Three,356584,Cong,ProhTouch|NonexiTruck|DenialZupy|ProhAway|DenialDaxy|NonexiBucket,Sha|Bei
2019-05-31 20:54:13,2019-05-31 20:59:18,IP Address,207.38.180.236,100,305,True,2019-05-31 20:59:19,R_Pv4Vi1MN3wq0a5z,,,,,40.7277984619140625,-73.860198974609375,anonymous,EN,A2Z5A7TCIR8M6E,,,,,0,0,41.433,0,,,,,Touch it,9.352,26.059,28.938,3,Stay away,14.473,14.473,22.531,1,Truck,12.265,13.661,14.951,2,Bucket,9.664,12.3,14.096,2,Daxy,10.261,17.143,18.275,3,Zupy,22.496,37.558,40.372,3,No,Yes,How people can quickly translate a foreign language based on a predefined set of behaviors.,,Three,96696,Incong,DenialZupy|NonexiTruck|ProhTouch|DenialDaxy|NonexiBucket|ProhAway,Bei|Sha
2019-05-31 20:56:33,2019-05-31 20:59:22,IP Address,107.15.144.116,100,169,True,2019-05-31 20:59:23,R_1QFn4DF3dDyRgLI,,,,,35.896392822265625,-78.7115020751953125,anonymous,EN,A1NKBXOTZAI1YK,,,,,,,,,28.173,28.173,37.701,1,Touch it,6.645,6.645,7.307,1,Stay away,4.13,4.13,5.472,1,Truck,3.315,6.055,6.765,3,Bucket,3.255,3.255,3.884,1,Daxy,8.711,20.111,20.95,3,Zupy,3.306,5.019,5.329,4,No,Yes,Understanding unknown languages,Thanks.,Three,956011,NoCue,DenialDaxy|ProhTouch|ProhAway|NonexiTruck|DenialZupy|NonexiBucket,Bei|Sha
2019-05-31 20:55:28,2019-05-31 20:59:24,IP Address,27.34.106.159,100,236,True,2019-05-31 20:59:24,R_RqvxvZxZQimPd0B,,,,,28.233306884765625,83.983306884765625,anonymous,EN,A1Y6VW621TEYXN,,,,,,,,,0,0,59.086,0,Touch it,12.771,14.136,15.353,2,Stay away,5.5,5.5,7.117,1,Truck,8.848,14.898,16.451,3,Bucket,5.602,5.602,7.459,1,Daxy,5.821,5.821,8.089,1,Zupy,20.009,42.963,44.34,4,no,yes,,,Three,50980,NoCue,DenialZupy|NonexiTruck|ProhTouch|DenialDaxy|ProhAway|NonexiBucket,Sha|Bei
2019-05-31 20:57:18,2019-05-31 20:59:31,IP Address,72.234.160.168,100,133,True,2019-05-31 20:59:32,R_214UIwyojVYEcbZ,,,,,21.2987060546875,-157.6985015869140625,anonymous,EN,A1I3QYJJU5ACFR,,,,,,,,,0,0,36.633,0,Touch it,3.645,3.645,4.497,1,Stay away,4.288,4.288,5.076,1,Truck,2.235,2.235,3.119,1,Bucket,2.715,2.715,3.767,1,Daxy,6.104,6.104,7.092,1,Zupy,2.702,2.702,3.793,1,no,yes,perception of a different language,,Three,580295,NoCue,ProhTouch|DenialDaxy|NonexiBucket|DenialZupy|ProhAway|NonexiTruck,Bei|Sha
2019-05-31 20:55:03,2019-05-31 20:59:55,IP Address,108.64.192.39,100,291,True,2019-05-31 20:59:55,R_3L5SnuXjzsbNJpp,,,,,32.8545074462890625,-97.13590240478515625,anonymous,EN,A8GD33ZJ1SAA5,,,,,0,0,45.071,0,,,,,Stay away,8.542,8.542,10.21,1,Touch it,10.907,12.711,14.784,2,Bucket,23.145,28.162,30.724,2,Truck,11.726,13.022,14.824,2,Zupy,9.221,9.221,11.062,1,Daxy,11.695,14.831,16.619,2,yes,no,to see if this could be a way to teach a language?,no,Three,886094,Incong,NonexiTruck|NonexiBucket|ProhAway|DenialZupy|ProhTouch|DenialDaxy,Bei|Sha
2019-05-31 20:55:38,2019-05-31 21:00:01,IP Address,162.198.64.96,100,262,True,2019-05-31 21:00:01,R_1rjhtg5AN5s7PAv,,,,,32.60650634765625,-117.0579986572265625,anonymous,EN,AMLE1FC3SQVL8,,,,,0,0,45.676,0,,,,,Stay away,1.186,9.529,10.721,3,Touch it,5.183,8.119,9.701,4,Bucket,5.036,5.036,6.447,1,Truck,16.935,31.39,32.467,2,Zupy,5.435,7.386,8.594,2,Daxy,8.1,8.1,9.474,1,yes,no,To see what influences our perception of positive and negative words,no,Three,634802,Incong,NonexiBucket|DenialZupy|DenialDaxy|ProhTouch|ProhAway|NonexiTruck,Bei|Sha
2019-05-31 20:55:24,2019-05-31 21:00:11,IP Address,68.39.15.224,100,287,True,2019-05-31 21:00:12,R_30iw0BpkCLS3wEL,,,,,39.83349609375,-84.8983001708984375,anonymous,EN,A391WR0VFHUS8J,,,,,,,,,0,0,39.76,0,Stay away,26.997,47.383,48.009,3,Touch it,6.149,17.543,18.548,4,Bucket,14.4,15.129,16.266,2,Truck,6.317,7.813,8.432,2,Zupy,7.455,7.94,9.182,2,Daxy,19.297,20.668,21.345,2,Yes,No,Understanding universal language.,,Three,22878,NoCue,ProhTouch|DenialZupy|NonexiTruck|DenialDaxy|ProhAway|NonexiBucket,Sha|Bei
2019-05-31 20:55:17,2019-05-31 21:00:20,IP Address,65.128.24.59,100,302,True,2019-05-31 21:00:20,R_AbnPCNPhWOn4Sad,,,,,45.054595947265625,-93.25659942626953125,anonymous,EN,A3ADYUC5578BDW,0,0,37.722,0,,,,,,,,,Touch it,8.868,8.868,11.557,1,Stay away,8.249,10.073,12.969,2,Truck,13.883,13.883,19.467,1,Bucket,16.195,16.195,18.052,1,Daxy,9.508,14.604,16.486,3,Zupy,29.407,40.166,41.799,2,no,yes,How quickly people can pick up words we've never heard.,sha,Three,228923,Cong,DenialZupy|NonexiTruck|DenialDaxy|ProhAway|NonexiBucket|ProhTouch,Sha|Bei
2019-05-31 20:56:41,2019-05-31 21:00:23,IP Address,68.43.64.200,100,222,True,2019-05-31 21:00:24,R_21vnEdlAAc2FzPi,,,,,42.5596923828125,-83.113800048828125,anonymous,EN,A2NGSSVZ08HZVD,,,,,47.214,47.214,48.493,1,,,,,Touch it,3.999,6.745,7.818,2,Stay away,4.612,11.26,13.889,2,Truck,4.617,7.899,9.579,2,Bucket,4.489,7.088,8.633,2,Daxy,16.862,20.429,22.17,2,Zupy,5.026,8.727,10.083,2,no,yes,"Our ability to determine foreign words meaning ""yes"" and ""no""",,Three,714134,Incong,DenialDaxy|DenialZupy|NonexiTruck|ProhAway|ProhTouch|NonexiBucket,Bei|Sha
2019-05-31 20:55:14,2019-05-31 21:00:25,IP Address,189.202.83.111,100,310,True,2019-05-31 21:00:26,R_1H8gjXlURLoRhng,,,,,32.506500244140625,-117.003997802734375,anonymous,EN,A3EWC3BN8RU33I,,,,,70.031,70.031,70.593,1,,,,,Stay away,0.711,10.958,11.781,3,Touch it,2.875,12.913,14.351,4,Bucket,2.983,4.844,5.468,3,Truck,6.217,7.66,8.554,2,Zupy,9.726,32.362,33.499,5,Daxy,2.565,6.684,7.288,4,Yes,No,Interpreting language.,This was an interesting study.,Three,756736,Incong,DenialDaxy|NonexiBucket|NonexiTruck|ProhAway|ProhTouch|DenialZupy,Bei|Sha
2019-05-31 20:55:25,2019-05-31 21:00:27,IP Address,23.240.103.230,100,302,True,2019-05-31 21:00:28,R_1MYx7bp2dMdWatI,,,,,34.076202392578125,-118.3029022216796875,anonymous,EN,AIOOOO5OXWXKM,0,0,39.847,0,,,,,,,,,Stay away,2.985,19.174,20.148,4,Stay away,3.213,4.642,18.226,2,Truck,3.256,5.47,6.25,2,Bucket,4.158,7.013,7.847,3,Zupy,3.125,12.378,14.472,3,Zupy,10.966,19.074,20.82,2,No,Yes,How I would perceive another language,None,Three,887685,Cong,DenialZupy|ProhAway|NonexiTruck|DenialDaxy|ProhTouch|NonexiBucket,Sha|Bei
2019-05-31 20:55:58,2019-05-31 21:00:28,IP Address,98.24.57.195,100,269,True,2019-05-31 21:00:28,R_24IuMhMVld346G5,,,,,35.2136993408203125,-81.12200164794921875,anonymous,EN,A6YDORFZZXXPQ,,,,,,,,,0,0,40.495,0,Touch it,20.786,20.786,22.877,1,Stay away,9.079,9.079,11.116,1,Truck,12.496,12.496,15.47,1,Bucket,8.096,9.794,10.372,2,Daxy,26.149,26.149,31.013,1,Zupy,8.769,8.769,11.269,1,No,Yes,Language comprehension study,No comment,Three,258221,NoCue,DenialDaxy|NonexiTruck|ProhTouch|DenialZupy|NonexiBucket|ProhAway,Sha|Bei
2019-05-31 20:56:55,2019-05-31 21:00:29,IP Address,173.173.58.217,100,214,True,2019-05-31 21:00:30,R_OJzZnq0mULkNO37,,,,,31.068206787109375,-97.391998291015625,anonymous,EN,A3P1TIG6OWXN7V,,,,,0,0,36.58,0,,,,,Stay away,6.045,7.062,7.988,2,Touch it,4.74,5.794,7.44,2,Bucket,4.523,4.523,5.507,1,Truck,5.43,6.89,8.135,2,Zupy,3.93,7.966,8.832,2,Daxy,21.918,28.994,31.379,3,Yes,No,Learning a language,,Three,405551,Incong,DenialZupy|ProhTouch|NonexiTruck|DenialDaxy|ProhAway|NonexiBucket,Bei|Sha
2019-05-31 20:56:00,2019-05-31 21:00:47,IP Address,71.112.187.83,100,287,True,2019-05-31 21:00:47,R_1QhdhLVIxKTTEWh,,,,,40.503692626953125,-80.06829833984375,anonymous,EN,A324VBRLXHG5IB,,,,,0,0,77.608,0,,,,,Stay away,7.884,11.184,11.99,2,Stay away,4.331,7.008,8.115,2,Bucket,14.886,28.529,34.08,5,Truck,5.036,11.224,12.366,2,Zupy,3.475,5.165,6.62,2,Daxy,10.412,18.633,19.044,3,yes,no,If people can learn a language based on actions,"This was interesting, I haven't done a HIT like this before!",Three,378283,Incong,NonexiTruck|ProhTouch|ProhAway|NonexiBucket|DenialZupy|DenialDaxy,Sha|Bei
