StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,Proh_Cong_Time_First Click,Proh_Cong_Time_Last Click,Proh_Cong_Time_Page Submit,Proh_Cong_Time_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q110_First Click,Q110_Last Click,Q110_Page Submit,Q110_Click Count,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,Q118_First Click,Q118_Last Click,Q118_Page Submit,Q118_Click Count,Q122_First Click,Q122_Last Click,Q122_Page Submit,Q122_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,Q134_First Click,Q134_Last Click,Q134_Page Submit,Q134_Click Count,Q138_First Click,Q138_Last Click,Q138_Page Submit,Q138_Click Count,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTrTruck,NonexiTrTruckTime_First Click,NonexiTrTruckTime_Last Click,NonexiTrTruckTime_Page Submit,NonexiTrTruckTime_Click Count,NonexiTrBucket,NonexiTrBucketTime_First Click,NonexiTrBucketTime_Last Click,NonexiTrBucketTime_Page Submit,NonexiTrBucketTime_Click Count,DenialDaDaxy,DenialDaDaxyTime_First Click,DenialDaDaxyTime_Last Click,DenialDaDaxyTime_Page Submit,DenialDaDaxyTime_Click Count,DenialDaZupy,DenialDaZupyTime_First Click,DenialDaZupyTime_Last Click,DenialDaZupyTime_Page Submit,DenialDaZupyTime_Click Count,NonexiBuBucket,NonexiBuBucketTime_First Click,NonexiBuBucketTime_Last Click,NonexiBuBucketTime_Page Submit,NonexiBuBucketTime_Click Count,NonexiBuTruck,NonexiBuTruckTime_First Click,NonexiBuTruckTime_Last Click,NonexiBuTruckTime_Page Submit,NonexiBuTruckTime_Click Count,DenialZuZupy,DenialZuZupyTime_First Click,DenialZuZupyTime_Last Click,DenialZuZupyTime_Page Submit,DenialZuZupyTime_Click Count,DenialZuDaxy,DenialZuDaxyTime_First Click,DenialZuDaxyTime_Last Click,DenialZuDaxyTime_Page Submit,DenialZuDaxyTime_Click Count,Bei_meaning,Sha_meaning,catch,what about,improving,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
18/08/2019 13:32,18/08/2019 13:40,IP Address,64.38.134.84,100,442,TRUE,18/08/2019 13:40,R_31QWgg2KfqL0XXx,,,,,37.75100708,-97.8219986,anonymous,EN,AM4PAC2YQPREB,,,,,,,,,,,,,,,,,,,,,,,,,0,0,89.242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,3.662,7.359,9.129,3,Stay away,12.531,12.531,13.428,1,,,,,,,,,,,,,,,,,,,,,Bucket,19.335,43.63,44.553,6,Truck,5.436,5.436,16.799,1,Zupy,13.745,13.745,15.973,1,Daxy,0.94,1.243,1.902,2,Yes,No,Three,How we understand language through associations and images.,,623295,original,Denial,Cong,,bucket,zupy
18/08/2019 13:36,18/08/2019 13:40,IP Address,68.104.73.204,100,217,TRUE,18/08/2019 13:40,R_2rDhmQRTSSFAkUu,,,,,36.21800232,-115.1708984,anonymous,EN,A2WZ8ZEB00LYF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.847,107.901,111.378,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,3.067,3.755,4.376,2,Touch,2.406,10.396,12.375,8,Truck,1.845,1.845,3.127,1,Truck,1.089,4.679,5.5,3,Daxy,2.515,4.977,5.777,8,Zupy,3.755,4.021,4.754,2,,,,,,,,,,,,,,,,,,,,,Don't touch,Touch it,Three,To see what I thing about certain phrasing.,None,355134,original,Denial,Incong,,truck,daxy
18/08/2019 13:36,18/08/2019 13:40,IP Address,70.172.196.34,100,253,TRUE,18/08/2019 13:40,R_1mk2iDrpvbCP5eH,,,,,41.76890564,-71.47579956,anonymous,EN,A1G4WXQY3IYHV7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,82.955,0,,,,,,,,,Stay away,5.055,8.974,11.276,4,Touch,4.308,8.521,9.578,4,,,,,,,,,,,,,,,,,,,,,Truck,8.862,8.862,11.309,1,Bucket,18.695,25.884,27.686,2,Daxy,5.22,6.985,7.66,2,Zupy,6.537,12.605,17.462,2,no,yes,Three,decision making ,no,753302,cb,Denial,Cong,,bucket,zupy
18/08/2019 13:36,18/08/2019 13:40,IP Address,72.24.233.212,100,277,TRUE,18/08/2019 13:40,R_qJxtzJB6sZngOlP,,,,,34.59260559,-112.4237976,anonymous,EN,AETIZKQNUSBLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,81.528,0,,,,,,,,,Stay away,14.411,19.161,24.157,2,Stay away,3.129,13.615,14.179,2,,,,,,,,,,,,,,,,,,,,,Truck,2.751,4.277,9.672,2,Bucket,3.602,14.769,20.329,3,Daxy,4.017,4.017,8.321,1,Zupy,2.894,2.894,4.169,1,no or wrong,yes or correct,Three,understanding how people interpret language,none,43575,cb,Denial,Cong,,bucket,zupy
18/08/2019 13:34,18/08/2019 13:40,IP Address,67.1.192.59,100,385,TRUE,18/08/2019 13:40,R_3p3Aml4U5vYV9t3,,,,,32.2460022,-110.9177017,anonymous,EN,A2WGW5Y3ZFBDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.501,124.893,126.021,6,Touch,33.076,64.288,65.35,3,Stay away,5.181,21.918,23.533,2,,,,,,,,,,,,,,,,,,,,,Bucket,7.822,7.822,8.846,1,Bucket,4.901,31.512,32.712,5,Zupy,6.643,6.643,7.793,1,Zupy,7.519,7.519,8.78,1,yes,no,Three,"How I'd interpret the alien words, and the confusing tone of the mom's voice","Fix the play buttons for the audio, they're hard to use and not very intuitive.",123291,cb,Denial,Incong,,bucket,zupy
18/08/2019 13:37,18/08/2019 13:41,IP Address,174.26.238.63,100,219,TRUE,18/08/2019 13:41,R_1re6mGVmD91OkEr,,,,,33.39810181,-111.7850037,anonymous,EN,A207IHY6GERCFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,93.13,0,Touch,6.13,6.13,6.731,1,Touch,4.002,4.002,5.257,1,Bucket,11.066,13.995,14.742,2,Bucket,6.165,6.165,10.621,1,Zupy,11.13,11.13,12.249,1,Zupy,6.383,6.383,7.188,1,,,,,,,,,,,,,,,,,,,,,good,bad,Three,words,n,484501,cb,Denial,Incong,,truck,daxy
18/08/2019 13:34,18/08/2019 13:41,IP Address,173.88.174.228,100,396,TRUE,18/08/2019 13:41,R_3RdCmWvmKXQSWyR,,,,,41.38720703,-81.30419922,anonymous,EN,A1TCURESP0T0NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.859,72.395,85.586,2,,,,,Stay away,1.927,4.022,5.429,2,Touch,11.161,13.208,14.366,2,,,,,,,,,,,,,,,,,,,,,Truck,2.443,6.012,6.857,2,Bucket,11.312,29.088,30.256,2,Daxy,1.395,3.644,4.534,2,Zupy,3.202,4.81,5.832,2,no,yes,Three,language,no,57617,cb,Denial,Neutral,,bucket,zupy
18/08/2019 13:30,18/08/2019 13:41,IP Address,41.203.78.204,100,662,TRUE,18/08/2019 13:41,R_1Pc98rqQiSYro5u,,,,,6.447402954,3.390304565,anonymous,EN,AWRTEHHCTYDU3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21,138.243,146.98,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,7.539,7.725,8.701,2,Stay away,14.291,22.079,23.101,6,,,,,,,,,,,,,,,,,,,,,Bucket,11.9,33.667,42.901,4,Truck,4.063,110.713,112.39,16,Zupy,10.402,11.722,12.801,4,Daxy,5.571,5.814,6.792,2,Yes,No,Three,To study how people comprehend other languages without knowing the language and how languages relate. ,I think it's ok,781410,original,Denial,Neutral,,bucket,zupy
18/08/2019 13:37,18/08/2019 13:41,IP Address,71.175.14.146,100,228,TRUE,18/08/2019 13:41,R_ukA3og88fh9cVrz,,,,,39.98100281,-75.16989899,anonymous,EN,ATZBGGX4J7B1N,,,,,,,,,,,,,,,,,,,,,,,,,0,0,83.523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,4.865,4.865,5.946,1,Stay away,7.746,8.836,9.3,2,Truck,4.85,4.85,5.797,1,Bucket,15.532,20.45,22.16,2,Daxy,8.852,11.695,12.598,4,Zupy,5.74,5.74,7.34,1,,,,,,,,,,,,,,,,,,,,,Yes,No,Three,How people learn language,None - I love linguistics surveys. This was very fun!,929552,original,Denial,Cong,,truck,daxy
18/08/2019 13:38,18/08/2019 13:42,IP Address,24.184.207.32,100,202,TRUE,18/08/2019 13:42,R_2QfvuvN4x1uhJyS,,,,,40.57589722,-74.50080109,anonymous,EN,A2INTT7QARQHMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71.63,0,Stay away,3.771,8.619,9.26,6,Touch,4.527,4.527,5.459,1,Bucket,7.022,11.702,12.235,4,Truck,1.119,20.402,24.159,14,Daxy,6.642,11.308,14.44,4,Daxy,2.725,5.498,6.264,4,,,,,,,,,,,,,,,,,,,,,No. Not good,Yes. good.,Three,Understanding basic languages and how we learn.,,897567,cb,Denial,Incong,,truck,daxy
18/08/2019 13:38,18/08/2019 13:42,IP Address,68.190.114.188,100,249,TRUE,18/08/2019 13:42,R_3NETQOP88KtrNwZ,,,,,43.06309509,-89.31330109,anonymous,EN,AMLZN88TPROQK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.399,38.824,75.249,3,Stay away,1.308,14.384,15.568,7,Touch,5.036,6.369,7.562,3,,,,,,,,,,,,,,,,,,,,,Truck,5.753,28.003,28.434,5,Bucket,2.096,17.238,18.032,3,Daxy,3.39,15.798,16.624,3,Zupy,0.174,4.787,6.617,2,No,Yes,Three,Language acquisition,,244273,cb,Denial,Incong,,bucket,zupy
18/08/2019 13:39,18/08/2019 13:42,IP Address,73.184.85.92,100,211,TRUE,18/08/2019 13:42,R_DGkO0ADy3ZvEaGZ,,,,,33.76570129,-84.29509735,anonymous,EN,A3RVXTLBBSATQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,77.315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,8.562,10.146,10.717,2,Stay away,5.932,5.932,6.748,1,Truck,7.945,7.945,10.191,1,Bucket,11.493,16.093,20.042,3,Daxy,8.422,8.422,9.64,1,Zupy,6.347,6.347,7.2,1,,,,,,,,,,,,,,,,,,,,,Yes,No,Three,Inferring language from situations,,461494,original,Denial,Incong,,truck,daxy
18/08/2019 13:37,18/08/2019 13:43,IP Address,216.164.112.118,100,328,TRUE,18/08/2019 13:43,R_2y9hHMf42Diqv4p,,,,,40.69979858,-75.48739624,anonymous,EN,A31Z5TPD8QKE26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,88.142,0,,,,,Stay away,9.142,12.565,15.565,2,Touch,6.433,6.433,8.792,1,Bucket,14.631,20.063,21.128,2,Truck,19.881,31.514,34.729,2,Zupy,4.63,10.958,11.436,3,Daxy,22.731,32.931,33.77,2,,,,,,,,,,,,,,,,,,,,,no,yes,Three,foreign language learning,no,740245,cb,Denial,Neutral,,truck,daxy
18/08/2019 13:37,18/08/2019 13:43,IP Address,73.236.23.177,100,352,TRUE,18/08/2019 13:43,R_38KiA9FOIjgqaml,,,,,40.3052063,-79.54180145,anonymous,EN,AJSEVVPJVIH1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.873,101.529,102.898,2,,,,,,,,,Stay away,22.266,37.603,39.622,2,Touch,7.764,7.764,8.743,1,,,,,,,,,,,,,,,,,,,,,Truck,13.99,35.515,36.59,3,Bucket,9.077,9.844,10.851,2,Daxy,6.772,7.735,8.769,2,Zupy,11.362,12.908,13.805,2,Yes,No,Three,New Languages ,No,463803,cb,Denial,Cong,,bucket,zupy
18/08/2019 13:38,18/08/2019 13:43,IP Address,128.227.3.64,100,286,TRUE,18/08/2019 13:43,R_4JgYjBEDNbkHUlz,,,,,29.61380005,-82.38600159,anonymous,EN,A1QAQ72HQ921UG,,,,,,,,,,,,,,,,,,,,,,,,,0,0,77.959,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,8.416,12.2,13.105,2,Stay away,5.265,7.049,9.29,2,Truck,12.454,14.718,18.694,2,Bucket,6.453,9.396,14.147,3,Daxy,8.694,11.103,11.737,2,Zupy,6.624,11.352,17.631,3,,,,,,,,,,,,,,,,,,,,,yes,no,Three,"I'd guess something about how people learn languages, not really sure.",,689850,original,Denial,Cong,,truck,daxy
18/08/2019 13:36,18/08/2019 13:43,IP Address,100.38.44.77,100,440,TRUE,18/08/2019 13:43,R_BJ84zmPmDVhVZv3,,,,,40.66499329,-73.95230103,anonymous,EN,A01404101QSKETM2K7I5D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.722,129.744,132.51,2,,,,,,,,,Stay away,5.476,5.476,8.561,1,Touch,3.685,3.685,6.247,1,,,,,,,,,,,,,,,,,,,,,Bucket,34.023,35.243,38.084,2,Bucket,6.067,6.067,9.878,1,Daxy,17.891,20.193,26.725,2,Zupy,4.15,4.15,7.758,1,no,yes,Three,word comprehension ,none,98421,cb,Denial,Cong,,bucket,zupy
18/08/2019 13:35,18/08/2019 13:43,IP Address,45.56.143.33,100,510,TRUE,18/08/2019 13:43,R_Qc8O37nJ48s8c0N,,,,,37.75100708,-97.8219986,anonymous,EN,A128VDS8TMHBDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,84.965,0,Touch,10.832,12.691,13.868,2,Stay away,6.231,6.231,7.089,1,Truck,15.205,15.205,16.003,1,Bucket,7.84,7.84,8.851,1,Daxy,9.851,10.233,10.988,2,Zupy,10.206,10.206,11.105,1,,,,,,,,,,,,,,,,,,,,,good,bad,Three,How the inflection behind a word can inform our understanding of said word's meaning even if we do not necessarily speak the language in question.,Can't really think of any specific issues at the moment.,128551,cb,Denial,Incong,,truck,daxy
18/08/2019 13:39,18/08/2019 13:43,IP Address,72.175.156.26,100,237,TRUE,18/08/2019 13:43,R_OBFsP3zXvFO4EaR,,,,,46.85220337,-114.0214005,anonymous,EN,A13OHDWN9XSCIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.751,81.472,82.01,2,,,,,,,,,Stay away,3.549,4.271,4.927,2,Touch,6.834,7.291,7.873,2,,,,,,,,,,,,,,,,,,,,,Truck,1.875,6.411,7.043,4,Bucket,17.482,28.289,29.442,4,Daxy,4.416,7.035,7.519,3,Zupy,3.225,7.466,7.864,4,No,Yes,Three,Paying attention,No,801003,cb,Denial,Cong,,bucket,zupy
18/08/2019 13:34,18/08/2019 13:44,IP Address,70.40.246.74,100,610,TRUE,18/08/2019 13:44,R_2eRTpmR05iiX1WB,,,,,44.66110229,-88.26339722,anonymous,EN,A32TGAK321JDFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,105.592,0,,,,,Stay away,18.698,18.698,20.939,1,Touch,20.374,20.374,22.662,1,,,,,,,,,,,,,,,,,,,,,Truck,19.889,19.889,22.623,1,Bucket,50.421,54.709,57.007,2,Daxy,18.015,21.954,23.509,2,Zupy,16.661,16.661,18.18,1,No,Yes,Three,Analysis of interpretations of vocal qualities,,4824,cb,Denial,Neutral,,bucket,zupy
18/08/2019 13:40,18/08/2019 13:44,IP Address,108.50.233.122,100,283,TRUE,18/08/2019 13:44,R_3oO2jnlpWtRdkHw,,,,,40.42260742,-74.17990112,anonymous,EN,A3CZ2S6TCQTJBK,,,,,,,,,,,,,,,,,,,,,,,,,0,0,87.346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,16.564,16.564,17.946,1,Stay away,4.741,6.318,7.334,2,,,,,,,,,,,,,,,,,,,,,Bucket,3.389,7.013,7.717,2,Truck,19.107,44.935,46.341,3,Zupy,5.244,6.731,9.411,2,Daxy,8.43,12.262,13.252,3,yes,no,Three,I have no idea,no,24092,original,Denial,Cong,,bucket,zupy
18/08/2019 13:38,18/08/2019 13:45,IP Address,162.40.194.190,100,387,TRUE,18/08/2019 13:45,R_27VbLSfYdw53g7z,,,,,35.25320435,-82.19709778,anonymous,EN,A1KZ21TSAYUHO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.386,6.386,96.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,3.731,8.042,9.215,2,Stay away,11.667,17.89,21.488,2,Bucket,4.728,7.113,8.212,2,Bucket,55.314,66.108,69.167,3,Zupy,3.489,5.537,8.588,2,Zupy,0.472,2.232,3.498,2,,,,,,,,,,,,,,,,,,,,,zuppy,buxi,Three,Hot people think about sounds they here.,It could be a better way to know what the sound means.,992878,original,Denial,Incong,,truck,daxy
18/08/2019 13:32,18/08/2019 13:45,IP Address,69.146.36.214,100,754,TRUE,18/08/2019 13:45,R_3Gp1EkaHgYXt3SO,,,,,40.25410461,-103.8031006,anonymous,EN,A73N1UN8CBYYH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,65.721,0,Stay away,8.39,41.123,42.604,11,Stay away,4.75,10.593,11.706,3,Bucket,19.266,53.787,54.805,7,Truck,35.867,62.759,64.288,7,Daxy,12.544,14.301,19.061,2,Zupy,9.756,68.393,70.334,18,,,,,,,,,,,,,,,,,,,,,Yee,No,Three,The ability to learn a languafe by expression or tone,Please find some one who can draw better than the 4 year old who did this.,535727,cb,Denial,Incong,,truck,daxy
18/08/2019 13:38,18/08/2019 13:45,IP Address,70.130.114.104,100,402,TRUE,18/08/2019 13:45,R_qFq0ZtTY6pW05yh,,,,,29.94749451,-81.52639771,anonymous,EN,A3RRXGT8DUJYSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,85.439,0,,,,,Stay away,7.513,12.697,17.075,2,Touch,5.137,10.193,11.842,3,,,,,,,,,,,,,,,,,,,,,Bucket,9.741,18.458,19.24,3,Bucket,24.94,39.468,41.349,2,Zupy,10.63,17.951,20.505,2,Daxy,6.407,11.775,13.065,2,No,Yes,Three,To see if I can figure out a foreign language based on speech tone and pictures,No,340982,cb,Denial,Neutral,,bucket,zupy
18/08/2019 13:41,18/08/2019 13:45,IP Address,50.109.192.29,100,228,TRUE,18/08/2019 13:45,R_1hSxsfRoPosYs7C,,,,,41.70159912,-112.1812973,anonymous,EN,A3IDPT97BOSXGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,81.259,0,,,,,,,,,Touch,5.198,7.254,8.183,3,Touch,5.718,5.718,8.958,1,Truck,4.13,5.402,7.295,2,Bucket,9.697,18.946,19.722,2,Zupy,16.564,18.995,20.059,2,Daxy,5.23,6.702,7.942,2,,,,,,,,,,,,,,,,,,,,,yes,no,Three,I don't know,No,88756,cb,Denial,Cong,,truck,daxy
18/08/2019 13:39,18/08/2019 13:45,IP Address,75.84.181.136,100,407,TRUE,18/08/2019 13:45,R_1MSydnEp80vogKv,,,,,34.43179321,-118.5003052,anonymous,EN,A12TAXEMXFDYPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,129.078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,9.933,9.933,11.876,1,Stay away,7.537,7.537,9.278,1,Truck,19.155,31.495,35.386,4,Truck,8.424,22.572,25.675,3,Zupy,12.999,17.435,19.299,3,Zupy,12.901,46.863,49.607,3,,,,,,,,,,,,,,,,,,,,,yes,no,Three,memory ,,318209,original,Denial,Neutral,,truck,daxy
18/08/2019 13:40,18/08/2019 13:46,IP Address,76.177.111.57,100,338,TRUE,18/08/2019 13:46,R_1kGkp5zkNXZKu9Q,,,,,37.98719788,-84.17890167,anonymous,EN,A3K4JTRUZQD096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.458,9.458,82.075,1,,,,,Stay away,10.006,12.07,13.876,2,Touch,12.188,13.451,15.193,2,,,,,,,,,,,,,,,,,,,,,Truck,35.015,35.015,36.693,1,Bucket,14.859,14.859,16.651,1,Daxy,10.1,10.1,11.664,1,Zupy,19.133,20.357,22.042,2,bad,good,Three,decision making,"I don't know, maybe make some sense?",941238,cb,Denial,Neutral,,bucket,zupy
18/08/2019 13:39,18/08/2019 13:46,IP Address,74.190.111.136,100,420,TRUE,18/08/2019 13:46,R_1mUEfARh89p4GM2,,,,,34.38760376,-83.66629791,anonymous,EN,AFECJV2SCEZ82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,98.875,0,Stay away,33.208,36.016,38.07,2,Touch,8.538,10.676,12.041,2,,,,,,,,,,,,,,,,,,,,,Truck,22.542,31.102,32.816,2,Bucket,12.628,15.966,17.424,2,Daxy,10.051,14.231,15.63,3,Daxy,18.416,23.051,36.052,2,no,yes,Three,learning new words,no,307472,cb,Denial,Incong,,bucket,zupy
18/08/2019 13:40,18/08/2019 13:46,IP Address,97.123.176.81,100,327,TRUE,18/08/2019 13:46,R_PXTX27NMh7ZFdCh,,,,,35.15179443,-106.5789032,anonymous,EN,A23932BPI1NFXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,86.708,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,15.359,15.359,16.921,1,Stay away,15.293,15.293,16.917,1,,,,,,,,,,,,,,,,,,,,,Bucket,9.519,11.597,13.68,2,Truck,16.09,16.09,17.708,1,Zupy,11.292,11.292,13.035,1,Daxy,27.706,31.553,32.789,2,yes,no,Three,It might be to see if people could understand a different language based on hatching and listening to others.,,968577,original,Denial,Neutral,,bucket,zupy
18/08/2019 13:41,18/08/2019 13:46,IP Address,45.64.161.152,100,292,TRUE,18/08/2019 13:46,R_22PoagyvMI5RURU,,,,,27.71420288,85.31451416,anonymous,EN,A1Y6VW621TEYXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,90.353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,12.327,51.153,52.954,4,Stay away,6.664,8.389,9.455,2,,,,,,,,,,,,,,,,,,,,,Truck,9.093,9.093,14.849,1,Bucket,5.828,6.651,7.774,2,Zupy,9.177,10.857,12.973,2,Daxy,6.374,6.374,7.64,1,yes,no,Three,,,775288,original,Denial,Neutral,,bucket,zupy
18/08/2019 13:37,18/08/2019 13:46,IP Address,24.129.96.251,100,536,TRUE,18/08/2019 13:46,R_3ELqUwbgNjLm6Vk,,,,,30.35110474,-81.5059967,anonymous,EN,AS7ZK30LXDC46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.989,152.919,155.231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,76.692,81.515,120.355,2,Stay away,8.773,9.422,30.054,2,,,,,,,,,,,,,,,,,,,,,Bucket,2.516,38.979,41.094,5,Truck,3.456,42.906,44.453,7,Zupy,9.212,9.212,16.718,1,Daxy,16.25,20.574,26.167,3,yes,no,Three,language,nope,541702,original,Denial,Incong,,bucket,zupy
18/08/2019 13:41,18/08/2019 13:46,IP Address,97.103.153.83,100,283,TRUE,18/08/2019 13:46,R_1jHfiB4oPdjXVYK,,,,,28.14039612,-80.65139771,anonymous,EN,A1JJNB108BPMRN,,,,,,,,,,,,,,,,,,,,,,,,,0,0,62.278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,11.336,11.336,13.723,1,Touch,10.514,10.514,13.399,1,Truck,11.484,11.484,15.823,1,Truck,17.722,17.722,23.946,1,Zupy,17.135,17.135,19.649,1,Zupy,20,37.79,46.796,3,,,,,,,,,,,,,,,,,,,,,no,yes,Three,ability to learn languages,,362245,original,Denial,Cong,,truck,daxy
18/08/2019 13:40,18/08/2019 13:46,IP Address,209.237.91.26,100,359,TRUE,18/08/2019 13:46,R_3jxACWtIAaV3tE5,,,,,44.83770752,-123.2512054,anonymous,EN,A1HCAU0WHWDO7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.699,115.723,116.879,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stay away,3.996,5.733,6.797,2,Touch,0.917,8.559,10.703,4,,,,,,,,,,,,,,,,,,,,,Bucket,3.422,33.232,34.032,5,Bucket,0.48,10.722,12.128,2,Daxy,9.921,12.689,14.816,3,Daxy,0.973,7.574,9.138,3,No,yes,Three,Interpretations and understanding,No,266782,original,Denial,Incong,,bucket,zupy
18/08/2019 13:43,18/08/2019 13:46,IP Address,104.143.92.61,100,228,TRUE,18/08/2019 13:46,R_1rDrstPUDRPmv5X,,,,,37.33880615,-121.8914032,anonymous,EN,ALTMSSCYKZS8Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,102.955,0,,,,,Stay away,3.897,4.733,5.399,2,Touch,3.909,3.909,4.818,1,,,,,,,,,,,,,,,,,,,,,Bucket,1.146,5.2,5.847,2,Truck,37.839,37.839,39.03,1,Daxy,4.843,4.843,5.42,1,Zupy,5.277,5.277,6.487,1,no,yes,Three,how we hear sound for yes or no,none,728840,cb,Denial,Neutral,,bucket,zupy
