StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q158_First Click,Q158_Last Click,Q158_Page Submit,Q158_Click Count,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTrTruck,NonexiTrTruckTime_First Click,NonexiTrTruckTime_Last Click,NonexiTrTruckTime_Page Submit,NonexiTrTruckTime_Click Count,NonexiTrBucket,NonexiTrBucketTime_First Click,NonexiTrBucketTime_Last Click,NonexiTrBucketTime_Page Submit,NonexiTrBucketTime_Click Count,DenialDaDaxy,DenialDaDaxyTime_First Click,DenialDaDaxyTime_Last Click,DenialDaDaxyTime_Page Submit,DenialDaDaxyTime_Click Count,DenialDaZupy,DenialDaZupyTime_First Click,DenialDaZupyTime_Last Click,DenialDaZupyTime_Page Submit,DenialDaZupyTime_Click Count,NonexiBuBucket,NonexiBuBucketTime_First Click,NonexiBuBucketTime_Last Click,NonexiBuBucketTime_Page Submit,NonexiBuBucketTime_Click Count,NonexiBuTruck,NonexiBuTruckTime_First Click,NonexiBuTruckTime_Last Click,NonexiBuTruckTime_Page Submit,NonexiBuTruckTime_Click Count,DenialZuZupy,DenialZuZupyTime_First Click,DenialZuZupyTime_Last Click,DenialZuZupyTime_Page Submit,DenialZuZupyTime_Click Count,DenialZuDaxy,DenialZuDaxyTime_First Click,DenialZuDaxyTime_Last Click,DenialZuDaxyTime_Page Submit,DenialZuDaxyTime_Click Count,Bei_meaning,Sha_meaning,catch,what about,improving,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
11/7/19 18:52,11/7/19 18:54,IP Address,100,155,TRUE,11/7/19 18:54,R_3G2jhGOnmRqYNP5,,,,,anonymous,EN,,,,,,,,,0,0,61.203,0,,,,,,,,,,,,,Touch,4.239,4.239,4.916,1,Stay away,3.997,3.997,4.617,1,,,,,,,,,,,,,,,,,,,,,Bucket,3.398,8.509,9.183,2,Truck,4.363,4.363,5.311,1,Zupy,9.204,14.95,15.728,2,Daxy,3.698,3.698,4.332,1,Yes,No,Three,Thoughts on determining word meanings,,274738,original,Proh,Neutral,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,238,TRUE,11/7/19 18:55,R_10UvevJBPTu0iyJ,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,83.751,0,,,,,Stay away,6.36,6.36,7.938,1,Touch,3.866,3.866,4.56,1,,,,,,,,,,,,,,,,,,,,,Bucket,33.202,40.272,41.4,2,Bucket,5.05,5.05,6.016,1,Daxy,9.936,12.373,13.244,2,Zupy,8.947,8.947,9.777,1,no,yes,Three,understanding reactions,,402477,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,237,TRUE,11/7/19 18:55,R_b2PUvITjD3dxJBf,,,,,anonymous,EN,,,,,,,,,,,,,,,,,38.172,38.172,74.866,1,,,,,Stay away,11.784,11.784,13.503,1,Touch,3.069,3.069,4.263,1,Bucket,11.213,13.042,16.199,2,Truck,1.031,8.212,9.386,3,Daxy,27.772,27.772,29.679,1,Daxy,4.859,4.859,7.836,1,,,,,,,,,,,,,,,,,,,,,not to touch,touch,Three,,,160628,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:50,11/7/19 18:55,IP Address,100,258,TRUE,11/7/19 18:55,R_1go5GXS4qOpBLqU,,,,,anonymous,EN,,,,,0,0,78.391,0,,,,,,,,,,,,,,,,,Touch,4.865,4.865,6.975,1,Touch,7.953,7.953,9.016,1,,,,,,,,,,,,,,,,,,,,,Bucket,20.843,35.651,37.002,2,Truck,6.396,6.396,7.586,1,Daxy,4.163,4.163,5.347,1,Daxy,9.849,9.849,10.568,1,Touch,Don't touch,Three,Recocognizing words from an unknown language,,290051,original,Proh,Incong_Neg_Aff,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,245,TRUE,11/7/19 18:55,R_3CUzLoSCQYmpuh0,,,,,anonymous,EN,,,,,0,0,79.98,0,,,,,,,,,,,,,,,,,Touch,1.486,2.502,3.325,3,Touch,0.49,16.313,17.352,6,Truck,1.654,22.478,23.925,4,Truck,2.919,5.399,6.498,3,Daxy,0.2,1.44,2.428,2,Daxy,1.193,1.193,3.768,1,,,,,,,,,,,,,,,,,,,,,bei,shutup,Three,no idea,nice,131035,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:52,11/7/19 18:55,IP Address,100,200,TRUE,11/7/19 18:55,R_3qeTyrrEO060Pez,,,,,anonymous,EN,,,,,,,,,,,,,66.752,66.752,67.283,1,,,,,,,,,Stay away,4.684,4.684,6.659,1,Touch,4.607,4.607,7.518,1,Bucket,5.085,10.085,11.849,2,Truck,5.067,5.067,7.424,1,Zupy,13.699,20.942,22.431,3,Daxy,3.594,6.39,8.176,2,,,,,,,,,,,,,,,,,,,,,no,yes,Three,I have no idea.,No.,931946,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:55,IP Address,100,265,TRUE,11/7/19 18:55,R_1ly6soXmTWo5FzZ,,,,,anonymous,EN,0,0,69.403,0,,,,,,,,,,,,,,,,,,,,,Touch,6.294,6.294,7.337,1,Stay away,5.367,5.367,6.339,1,,,,,,,,,,,,,,,,,,,,,Bucket,17.413,17.413,18.558,1,Truck,10.8,10.8,12.5,1,Zupy,4.496,4.496,6.115,1,Daxy,25.364,25.364,26.225,1,yes,no,Three,understanding other languages,no,655092,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,275,TRUE,11/7/19 18:55,R_22lctNRH4xUR16E,,,,,anonymous,EN,,,,,,,,,,,,,0,0,72.025,0,,,,,,,,,Stay away,4.215,6.502,7.726,3,Touch,12.712,24.063,29.769,4,Bucket,6.865,12.428,14.809,2,Truck,16.888,29.687,30.742,3,Zupy,4.263,6.552,8.016,2,Zupy,15.958,17.933,19.061,2,,,,,,,,,,,,,,,,,,,,,Don't touch,Can touch,Three,Interpretation of foreign words based off of actions,None,693424,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:55,IP Address,100,257,TRUE,11/7/19 18:55,R_25BMs9mgAUczm7u,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,66.149,0,,,,,Stay away,6.491,6.491,7.838,1,Touch,13.214,13.214,14.744,1,,,,,,,,,,,,,,,,,,,,,Truck,11.168,21.312,24.507,3,Bucket,10.14,10.652,11.366,2,Daxy,6.385,6.385,7.087,1,Zupy,12.872,13.129,13.946,2,Yes,No,Three,using a common understanding to tell what someone is saying in a different language,"The action of the kid of Sha looks like his mom said yes, but her face looks like she says no. Its confusing.",622498,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,260,TRUE,11/7/19 18:55,R_3HM7RjTZQdxGl9F,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,47.206,47.206,72.424,1,Stay away,1.363,5.028,7.546,4,Touch,5.924,6.819,7.824,4,,,,,,,,,,,,,,,,,,,,,Truck,7.3,8.732,10.668,4,Bucket,4.569,45.097,45.878,6,Zupy,8.761,8.761,11.699,1,Daxy,14.989,19.709,20.613,7,stay away,touch it,Three,do not know,,881503,cb,Proh,Neutral,,bucket,zupy
11/7/19 18:51,11/7/19 18:55,IP Address,100,258,TRUE,11/7/19 18:55,R_1QsYjMUc8xkw4n5,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,68.563,0,Stay away,3.769,7.16,8.395,3,Touch,4.687,4.687,5.895,1,Bucket,24.108,28.598,33.825,2,Truck,3.813,6.264,7.201,3,Zupy,3.756,5.675,6.531,2,Daxy,7.86,9.689,11.028,2,,,,,,,,,,,,,,,,,,,,,stay away or no,yes or sure,Three,Analyze people's ability to learn a language through observation,The way I could play the audio is if i click on the period hamburger icon and pressing play from there.,921318,cb,Proh,Neutral,,truck,daxy
11/7/19 18:52,11/7/19 18:55,IP Address,100,225,TRUE,11/7/19 18:55,R_1Fywevwfk3VkyV6,,,,,anonymous,EN,27.79,31.073,61.913,2,,,,,,,,,,,,,,,,,,,,,Stay away,1.326,5.721,6.435,4,Touch,0.696,1.493,2.154,2,Bucket,1.902,7.256,8.049,5,Truck,5.423,26.574,27.943,7,Zupy,0.573,1.899,3.201,2,Daxy,1.079,1.795,2.658,2,,,,,,,,,,,,,,,,,,,,,truck,bucket,Three,Understanding language and suggestion,,685046,original,Proh,Incong_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:56,IP Address,100,262,TRUE,11/7/19 18:56,R_1rqSErmumw8UWfe,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,74.814,0,,,,,Stay away,1.6,6.788,7.736,3,Touch,12.336,15.994,17.261,4,Bucket,6.399,6.399,7.369,1,Truck,10.606,31.67,33.969,2,Zupy,7.003,9.296,10.833,2,Daxy,15.504,18.318,21.549,2,,,,,,,,,,,,,,,,,,,,,stay away,go toward,Three,to see my deduction skills,no,727771,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:53,11/7/19 18:56,IP Address,100,173,TRUE,11/7/19 18:56,R_1OoA3IMWAaWN8BQ,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,61.833,0,Stay away,5.008,5.008,6.076,1,Stay away,9.018,9.545,11.062,2,Truck,8.72,9.491,11.125,3,Bucket,4.23,4.999,5.428,2,Zupy,6.275,8.447,9.425,5,Zupy,5.943,11.823,13.066,2,,,,,,,,,,,,,,,,,,,,,dont,no,Three,no clue,no,947210,cb,Proh,Neutral,,truck,daxy
11/7/19 18:51,11/7/19 18:56,IP Address,100,301,TRUE,11/7/19 18:56,R_2eVckZde5hI5RAw,,,,,anonymous,EN,,,,,,,,,,,,,0,0,80.935,0,,,,,,,,,Stay away,5.207,9.135,10.118,4,Stay away,5.083,12.269,13.268,3,,,,,,,,,,,,,,,,,,,,,Truck,8.385,10.783,11.904,3,Truck,2.664,36.588,38.601,10,Daxy,7.313,11.305,12.401,2,Daxy,9.166,11.502,13.201,3,no,yes,Three,Understanding different languages,Nope. I enjoyed the study.,653856,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:56,IP Address,100,310,TRUE,11/7/19 18:56,R_6rjR0I9FArDEOyd,,,,,anonymous,EN,3.113,62.704,63.62,7,,,,,,,,,,,,,,,,,,,,,Touch,1.201,11.052,14.392,3,Touch,1.828,4.455,5.472,3,,,,,,,,,,,,,,,,,,,,,Bucket,1.477,22.786,23.591,6,Truck,6.762,8.051,9.732,2,Daxy,3.556,6.895,7.932,4,Zupy,7.272,9.692,10.661,3,touch,stay,Three,language,fix the play button incorporated in the sentences. ,227270,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:56,IP Address,100,339,TRUE,11/7/19 18:56,R_31uUepytwwXJLNY,,,,,anonymous,EN,,,,,0,0,107.529,0,,,,,,,,,,,,,,,,,Touch,15.819,15.819,17.377,1,Touch,1.412,5.893,6.228,3,Truck,28.141,28.753,29.96,2,Bucket,29.063,30.432,31.334,2,Zupy,6.889,6.889,7.829,1,Zupy,1.54,4.71,5.418,3,,,,,,,,,,,,,,,,,,,,,Buy,Sale,Three,Good,Its Nice,286479,original,Proh,Incong_Neg_Aff,,truck,daxy
11/7/19 18:51,11/7/19 18:56,IP Address,100,321,TRUE,11/7/19 18:56,R_23danfOR40sf0Lh,,,,,anonymous,EN,,,,,,,,,,,,,42.876,84.238,85.598,2,,,,,,,,,Stay away,8.814,8.814,11.639,1,Touch,17.151,17.151,21.616,1,Bucket,20.305,20.305,26.454,1,Truck,10.133,10.133,12.483,1,Zupy,10.201,10.201,11.962,1,Daxy,19.857,19.857,23.322,1,,,,,,,,,,,,,,,,,,,,,no,yes,Three,unknown language and yes/no,,732910,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:57,IP Address,100,350,TRUE,11/7/19 18:57,R_2EAGON6UBjUVJ08,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,82.224,0,Stay away,6.838,6.838,9.327,1,Touch,8.148,8.148,9.781,1,Truck,14.955,22.011,23.31,2,Bucket,21.253,42.435,43.796,2,Zupy,4.747,13.45,15.785,2,Daxy,23.459,34.147,35.246,2,,,,,,,,,,,,,,,,,,,,,not to touch,to touch,Three,To evaluate how one interprets a made up language. ,no,947030,cb,Proh,Neutral,,truck,daxy
